"GEOID","NAME","In the Labor Force,Employed with disabilityE","In the Labor Force,Employed with disabilityM","In the Labor force,unemployed with a disabilityE","In the Labor force,unemployed with a disabilityM","Not in the Labor force, with a disabilityE","Not in the Labor force, with a disabilityM","In the Labor Force,Employed with no disabilityE","In the Labor Force,Employed with no disabilityM","In the Labor force,unemployed with no disabilityE","In the Labor force,unemployed with no disabilityM","Not in the Labor Force, with no disabilityE","Not in the Labor Force, with no disabilityM","CV_employed_disabled","CV_unemployed_disabled","CV_not_in_Labor_force_disabled","CV_employed_not_disabled","CV_unemployed_not_disabled","CV_not_in_Labor_force_not_disabled","disability_total","no_disability_total","percent_in_labor_force_employed_disabled","percent_in_labor_force_employed_not_disabled","percent_in_labor_force_unemployed_disabled","percent_in_labor_force_unemployed_not_disabled","percent_not_in_labor_force_disabled","percent_not_in_labor_force_not_disabled","percent_in_labor_force_employed_gap","percent_in_labor_force_unemployed_gap","percent_not_in_labor_force_gap","compared_to_state_avg_nd","compared_to_state_avg_ed"
"42","Pennsylvania",328739,4730,48335,2246,488666,6119,5382880,12437,268307,4673,1176014,9085,"high reliability","high reliability","high reliability","high reliability","high reliability","high reliability",865740,6827201,37.9720239332825,78.8446099653431,5.58308499087486,3.92997071567103,56.4448910758426,17.2254193189859,40.8725860320605,-1.65311427520382,-39.2194717568567,"below average","below average"
"06","California",725770,6863,111347,3276,1107463,8374,16803983,20844,1036590,9366,4562242,18685,"high reliability","high reliability","high reliability","high reliability","high reliability","high reliability",1944580,22402815,37.3227123594812,75.0083549768188,5.72601795760524,4.62705244854274,56.9512696829135,20.3645925746385,37.6856426173375,-1.0989655090625,-36.586677108275,"below average","below average"
"54","West Virginia",52708,1850,7704,649,116284,2236,635373,4340,41066,1939,209535,3541,"high reliability","high reliability","high reliability","high reliability","high reliability","high reliability",176696,885974,29.8297641146376,71.714632709312,4.36003078734097,4.63512473277997,65.8102050980215,23.650242557908,41.8848685946744,0.275093945438999,-42.1599625401134,"below average","below average"
"49","Utah",78244,2238,6885,603,74184,2086,1356719,4412,44672,2167,293957,3936,"high reliability","high reliability","high reliability","high reliability","high reliability","high reliability",159313,1695348,49.1133805778562,80.0259887645486,4.32168121873293,2.6349752381222,46.5649382034109,17.3390359973292,30.9126081866925,-1.68670598061073,-29.2259022060817,"above average","above average"
"36","New York",370064,5175,56823,2127,637825,6826,8408332,14301,471998,6594,2143212,13966,"high reliability","high reliability","high reliability","high reliability","high reliability","high reliability",1064712,11023542,34.7571925553577,76.2761370165778,5.33693618556004,4.28172723431362,59.9058712590823,19.4421357491086,41.5189444612201,-1.05520895124642,-40.4637355099737,"below average","below average"
"11","District of Columbia",16541,1329,3972,690,23830,1310,343307,2572,23909,1632,71141,2114,"high reliability","high reliability","high reliability","high reliability","high reliability","high reliability",44343,438357,37.3023927113637,78.3167600836761,8.95744536905487,5.45423022787363,53.7401619195814,16.2290096884503,41.0143673723124,-3.50321514118124,-37.5111522311312,"below average","below average"
"02","Alaska",21283,1292,3114,443,24321,1196,296241,2789,21498,976,75555,1979,"high reliability","high reliability","high reliability","high reliability","high reliability","high reliability",48718,393294,43.6861119093559,75.3230407786541,6.39188800853894,5.46613983432241,49.9220000821052,19.2108193870234,31.6369288692982,-0.925748174216524,-30.7111806950817,"above average","above average"
"12","Florida",444036,7422,62299,2258,746430,8413,8519234,17327,445828,6883,2195341,14284,"high reliability","high reliability","high reliability","high reliability","high reliability","high reliability",1252765,11160403,35.4444768172802,76.3344656998497,4.97291990117859,3.99473029782168,59.5826032815412,19.6708040023286,40.8899888825696,-0.978189603356911,-39.9117992792126,"below average","below average"
"45","South Carolina",126460,3733,15938,1043,224512,4060,2009953,8323,108536,3399,516936,5914,"high reliability","high reliability","high reliability","high reliability","high reliability","high reliability",366910,2635425,34.466217873593,76.2667501446636,4.34384453953286,4.11834903288843,61.1899375868742,19.614900822448,41.8005322710706,-0.225495506644422,-41.5750367644262,"below average","below average"
"38","North Dakota",21549,1079,1673,276,16243,1052,348847,1889,10009,882,56746,1658,"high reliability","high reliability","high reliability","high reliability","high reliability","high reliability",39465,415602,54.6028126187761,83.9377577586248,4.23919929051058,2.40831372322559,41.1579880907133,13.6539285181496,29.3349451398487,-1.83088556728499,-27.5040595725637,"above average","above average"
