FISCAL YEAR,COUNTY NUMBER,County,PUBLIC SAFETY AND LEGAL SERVICES,PHYSICAL HEALTH SOCIAL SERVICES,"MENTAL HEALTH, ID & DD",COUNTY ENVIRONMENT AND EDUCATION,ROADS & TRANSPORTATION,GOVERNMENT SERVICES TO RESIDENTS,ADMINISTRATION,NONPROGRAM CURRENT,DEBT SERVICE,CAPITAL PROJECTS,SUBTOTAL EXPENDITURES,OPERATING TRANSFERS OUT,REFUNDED DEBT/PAYMENTS TO ESCROW,TOTAL EXPENDITURES & OTHER USES,Primary County Coordinates
2011,42,HARDIN,3347362,206734,1728157,877545,5129271,409470,1491637,126072,803308,1570302,15689858,3142609,0,18832467,POINT (-93.2404025 42.3838803)
2012,42,HARDIN,3421626,201495,1946691,803644,4772423,456723,1703024,150656,934821,2214872,16605975,3157943,0,19763918,POINT (-93.2404025 42.3838803)
2013,42,HARDIN,3567132,171509,1082252,932222,5424525,462595,1716744,160230,901484,3755105,18173798,2653436,0,20827234,POINT (-93.2404025 42.3838803)
2014,42,HARDIN,3586321,246727,711605,890922,5072485,486342,1720649,826428,1621762,719714,15882955,2248295,0,18131250,POINT (-93.2404025 42.3838803)
2015,42,HARDIN,3426445,261383,2094698,860945,5261515,495278,1689224,856924,2487169,660236,18093817,2120901,0,20214718,POINT (-93.2404025 42.3838803)
2016,42,HARDIN,3606785,253748,454748,903740,5978755,552019,1612849,121042,2497612,357798,16339096,1963645,0,18302741,POINT (-93.2404025 42.3838803)
2017,42,HARDIN,4112424,336030,395245,1039649,5064526,526506,1675382,125823,7588763,558966,21423314,1910547,1673425,25007286,POINT (-93.2404025 42.3838803)
2018,42,HARDIN,4509539,327902,429760,1029783,5808884,560810,1865874,189288,2391117,367612,17480569,1886363,0,19366932,POINT (-93.2404025 42.3838803)
2019,42,HARDIN,4757198,351202,459464,1067125,6778504,530408,1984930,88648,1953316,2080494,20051289,2106398,0,22157687,POINT (-93.2404025 42.3838803)
2020,42,Hardin,4503417,384498,934245,1200052,7232200,581840,2564001,135698,1893650,850522,20280123,2087797,0,22367920,POINT (-93.2404025 42.3838803)
2021,42,Hardin,4440053,410234,437233,1115138,6181421,667023,2220473,123926,2000733,281210,17877444,2122717,0,20000161,POINT (-93.2404025 42.3838803)
2010,43,HARRISON,1782774,1367233,1854580,845934,4450656,444290,1694521,0,495472,1500114,14435574,1293473,0,15729047,POINT (-95.8169209 41.6828528)
2011,43,HARRISON,1906868,1323543,1861524,881640,4711995,448239,1928474,0,456987,661863,14181133,1468600,0,15649733,POINT (-95.8169209 41.6828528)
2012,43,HARRISON,2073968,1390604,2334135,896333,4700693,493835,1820213,0,449867,665803,14825451,1573400,0,16398851,POINT (-95.8169209 41.6828528)
2013,43,HARRISON,2103249,1344044,941204,839776,5431310,479652,1949964,0,226233,236821,13552253,1775000,0,15327253,POINT (-95.8169209 41.6828528)
2014,43,HARRISON,2362176,1433871,467032,962763,5630954,623120,1266860,0,230521,331436,13308733,1860000,0,15168733,POINT (-95.8169209 41.6828528)
2015,43,HARRISON,2408419,1511535,1954604,1021399,5274374,642785,1223892,0,0,414945,14451953,2017500,0,16469453,POINT (-95.8169209 41.6828528)
2016,43,HARRISON,2559026,1558742,476223,1075956,7252406,566247,1391680,0,1497776,293333,16671389,2050000,0,18721389,POINT (-95.8169209 41.6828528)
2017,43,HARRISON,2564659,1613847,399452,1105518,6609057,564587,1360021,0,121156,670620,15008917,2066000,0,17074917,POINT (-95.8169209 41.6828528)
2018,43,HARRISON,2570566,1687646,328095,1159670,7383564,584130,1600052,0,120066,567897,16001686,2747000,0,18748686,POINT (-95.8169209 41.6828528)
2019,43,HARRISON,2862391,1726085,322129,1197343,7322694,592080,1518817,0,119175,542850,16203564,2213000,0,18416564,POINT (-95.8169209 41.6828528)
2020,43,Harrison,2905393,1700513,352602,1180329,6960744,634079,1473174,0,117726,1456842,16781402,2696000,0,19477402,POINT (-95.8169209 41.6828528)
2021,43,Harrison,3254621,2056468,353350,1254371,7331176,641067,1478340,0,121265,870665,17361323,2259900,0,19621223,POINT (-95.8169209 41.6828528)
2010,44,HENRY,2912318,742947,2610442,1015824,3204987,541908,1072940,42763,149694,982538,13276361,981790,0,14258151,POINT (-91.5445241 40.9879383)
2011,44,HENRY,2938859,849249,2627986,907389,4102154,488946,1089838,51237,146317,756800,13958775,1043037,0,15001812,POINT (-91.5445241 40.9879383)
2012,44,HENRY,2874940,835927,2765076,951299,3330760,542285,1134482,45492,149927,461070,13091258,1081504,0,14172762,POINT (-91.5445241 40.9879383)
2013,44,HENRY,2948882,906154,771407,969489,3720147,526221,1149290,51714,230821,956340,12230465,1106292,0,13336757,POINT (-91.5445241 40.9879383)
2014,44,HENRY,3126645,819320,443657,1053812,3756013,554467,1315364,59855,232625,855877,12217635,1348478,0,13566113,POINT (-91.5445241 40.9879383)
2015,44,HENRY,3246178,824436,428802,1315451,3896915,557004,1340787,56424,232303,537303,12435603,1332137,0,13767740,POINT (-91.5445241 40.9879383)
2016,44,HENRY,3175107,919766,475184,1002942,4118243,610732,1341736,73966,233102,603473,12554251,1373344,0,13927595,POINT (-91.5445241 40.9879383)
2017,44,HENRY,3450897,950979,690929,1140101,4768270,632006,1530085,62135,233801,1201557,14660760,1495655,0,16156415,POINT (-91.5445241 40.9879383)
2018,44,HENRY,3702508,1025719,778733,1056873,4575626,694096,1476806,56928,229701,1362413,14959403,2164229,0,17123632,POINT (-91.5445241 40.9879383)
2019,44,HENRY,3856906,1331816,1036026,1116881,4649111,685430,1513682,50801,871761,6128058,21240472,1529944,0,22770416,POINT (-91.5445241 40.9879383)
2020,44,Henry,4125462,1476967,934461,1102347,5114490,729135,1399322,96136,865464,4266898,20110682,1736202,0,21846884,POINT (-91.5445241 40.9879383)
2021,44,Henry,4410880,1364460,1029935,1311744,4535283,777487,1693634,61835,878741,1086295,17150294,1663570,0,18813864,POINT (-91.5445241 40.9879383)
2010,45,HOWARD,1140290,400748,1106475,1593916,3928750,298369,836308,465,104663,276148,9686132,1100041,0,10786173,POINT (-92.3171989 43.3567673)
2011,45,HOWARD,1146518,447054,1244340,1350248,3744219,312435,936796,465,173717,2558286,11914078,1134567,0,13048645,POINT (-92.3171989 43.3567673)
2012,45,HOWARD,1318332,435858,1383603,1031112,3465471,325889,944071,22341,250080,559101,9735858,1115444,0,10851302,POINT (-92.3171989 43.3567673)
2013,45,HOWARD,1341529,602258,728817,1435876,3720201,360405,1235834,852,612611,2459589,12497972,1174834,0,13672806,POINT (-92.3171989 43.3567673)
2014,45,HOWARD,1344183,556146,494451,1166893,4269278,333684,791685,0,1152254,4201485,14310059,1906843,0,16216902,POINT (-92.3171989 43.3567673)
2015,45,HOWARD,1519386,511854,595219,1384537,3804934,332738,920670,0,1572923,1390093,12032354,1931323,0,13963677,POINT (-92.3171989 43.3567673)
2016,45,HOWARD,1656003,324950,446590,1620699,4493400,375837,961037,0,1552286,775227,12206029,1807628,0,14013657,POINT (-92.3171989 43.3567673)
2017,45,HOWARD,1623893,352150,567701,2022806,4918784,366089,1070160,0,1567692,367388,12856663,1940244,0,14796907,POINT (-92.3171989 43.3567673)
2018,45,HOWARD,1773583,311272,614379,2796084,5131232,404568,1031950,399,1568856,1419657,15051980,2846615,0,17898595,POINT (-92.3171989 43.3567673)
2019,45,HOWARD,1914678,317567,578137,1742557,5063601,405084,1075058,0,1900503,5598300,18595485,2302618,0,20898103,POINT (-92.3171989 43.3567673)
2020,45,Howard,2037112,334609,460147,1911300,5185482,391135,1097097,0,1868409,1775819,15061110,2334244,0,17395354,POINT (-92.3171989 43.3567673)
2021,45,Howard,2119999,407404,362598,2131101,5044942,407650,1079522,0,1082296,1020418,13655930,2361898,0,16017828,POINT (-92.3171989 43.3567673)
2010,46,HUMBOLDT,1521567,341368,1125867,561041,2690293,378411,933984,0,0,728161,8280692,1189159,0,9469851,POINT (-94.2071868 42.7764686)
2011,46,HUMBOLDT,1708763,355919,1147043,811415,3381967,382617,952469,0,0,483398,9223591,1386914,0,10610505,POINT (-94.2071868 42.7764686)
2012,46,HUMBOLDT,1586117,357892,1322051,731678,3443239,373185,973274,0,0,242868,9030304,1403697,0,10434001,POINT (-94.2071868 42.7764686)
2013,46,HUMBOLDT,1724558,288073,1273973,768256,2974324,367164,1006773,0,0,292469,8695590,1555916,0,10251506,POINT (-94.2071868 42.7764686)
2014,46,HUMBOLDT,1720648,344114,1057761,747130,3433331,371545,1060502,0,0,331380,9066411,1663099,0,10729510,POINT (-94.2071868 42.7764686)
2015,46,HUMBOLDT,1774228,345582,814315,760148,2967587,374918,1244405,0,0,672800,8953983,1735152,0,10689135,POINT (-94.2071868 42.7764686)
2016,46,HUMBOLDT,1994478,314763,594119,763178,3196836,464187,1086963,0,376664,1844563,10635751,1890647,0,12526398,POINT (-94.2071868 42.7764686)
2017,46,HUMBOLDT,2021261,387248,717038,707873,3734494,470688,1100690,0,87837,1237692,10464821,2000901,0,12465722,POINT (-94.2071868 42.7764686)
2018,46,HUMBOLDT,2113138,342634,608730,751305,3122019,436491,1105630,4957692,127842,3076883,16642364,1853918,0,18496282,POINT (-94.2071868 42.7764686)
2019,46,HUMBOLDT,2237047,272266,475566,776159,3504675,437416,1243933,28853,127807,476209,9579931,1946980,0,11526911,POINT (-94.2071868 42.7764686)
2020,46,Humboldt,2520005,324476,440221,929254,4237568,477985,1327695,12369,127835,653027,11050435,1911783,0,12962218,POINT (-94.2071868 42.7764686)
2021,46,Humboldt,2604609,343750,364845,1137724,4007772,504545,1443065,10352,231850,1168321,11816833,3957243,0,15774076,POINT (-94.2071868 42.7764686)
2010,47,IDA,615011,288551,541077,267385,2397651,246592,955207,0,0,205890,5517364,1128470,0,6645834,POINT (-95.5134962 42.3868747)
2011,47,IDA,620709,254892,731422,283447,2541190,223573,635484,0,0,214587,5505304,1277089,0,6782393,POINT (-95.5134962 42.3868747)
2012,47,IDA,641063,250949,733652,266576,2558619,221289,638691,0,0,115161,5426000,1210066,0,6636066,POINT (-95.5134962 42.3868747)
2013,47,IDA,679720,221929,384034,334871,2903628,241579,605137,0,0,115471,5486369,1016038,0,6502407,POINT (-95.5134962 42.3868747)
2014,47,IDA,692821,257145,253412,311466,2906017,232431,615897,0,0,545670,5814859,987783,0,6802642,POINT (-95.5134962 42.3868747)
2015,47,IDA,704922,241791,363353,326799,3031815,239471,711353,0,0,516356,6135860,1110085,0,7245945,POINT (-95.5134962 42.3868747)
2016,47,IDA,744817,273104,249935,342267,3822889,317966,689825,0,0,152611,6593414,1181397,0,7774811,POINT (-95.5134962 42.3868747)
2017,47,IDA,819428,221307,229217,415202,3121212,266115,787124,0,0,107324,5966929,1280350,0,7247279,POINT (-95.5134962 42.3868747)
2018,47,IDA,832031,213145,229605,316694,2938763,291340,752634,0,0,116253,5690465,1029845,0,6720310,POINT (-95.5134962 42.3868747)
2019,47,IDA,948325,200956,167640,412330,3412845,296160,798782,0,314634,4371780,10923452,1379836,0,12303288,POINT (-95.5134962 42.3868747)
2020,47,Ida,965512,213948,211099,812152,3112578,307990,906680,0,536277,12643611,19709847,1797896,0,21507743,POINT (-95.5134962 42.3868747)
2021,47,Ida,1010922,235894,246276,828768,3153711,316191,823077,0,544135,1445073,8604047,1723891,0,10327938,POINT (-95.5134962 42.3868747)
2010,48,IOWA,2551489,916822,1313206,948956,5761762,480153,1501506,193206,683200,1323581,15673881,1454875,0,17128756,POINT (-92.065524 41.6863229)
2011,48,IOWA,2658022,923941,1382704,2408266,5864821,498420,1354981,188937,716198,552030,16548320,1346725,0,17895045,POINT (-92.065524 41.6863229)
2012,48,IOWA,2843234,990810,1667215,837161,5975092,534314,1359701,125622,1413358,296537,16043044,1223638,0,17266682,POINT (-92.065524 41.6863229)
2013,48,IOWA,3283685,977398,761654,973367,6123355,568675,1452388,69486,1113526,60252,15383786,1224698,0,16608484,POINT (-92.065524 41.6863229)
2014,48,IOWA,3266660,1019132,438589,975342,5121338,581675,1363669,65576,1061094,193647,14086722,1327724,0,15414446,POINT (-92.065524 41.6863229)
2015,48,IOWA,4221306,1094672,472399,883199,6293036,594129,1462306,114090,846421,783625,16765183,1315000,0,18080183,POINT (-92.065524 41.6863229)
2016,48,IOWA,4368065,1104754,575011,1011839,5952201,708265,1450311,49574,2354276,220535,17794831,1321419,0,19116250,POINT (-92.065524 41.6863229)
2017,48,IOWA,4702917,1181304,604939,1025135,6392648,618684,1650033,125220,285054,2984258,19570192,1315000,0,20885192,POINT (-92.065524 41.6863229)
2018,48,IOWA,4673013,1273033,605851,890602,6130631,643820,1950682,104388,660017,1001546,17933583,1315000,0,19248583,POINT (-92.065524 41.6863229)
2019,48,IOWA,5104718,1279562,580353,886329,6182205,679725,2130811,220454,680834,2561770,20306761,1315000,0,21621761,POINT (-92.065524 41.6863229)
2020,48,Iowa,5176111,1326028,587109,966321,8250544,728082,3336259,219288,777413,1600124,22967279,1315000,0,24282279,POINT (-92.065524 41.6863229)
2021,48,Iowa,5682882,1266011,809656,958937,6908140,750447,3393521,161699,773969,557738,21263000,1383900,0,22646900,POINT (-92.065524 41.6863229)
2010,49,JACKSON,1586547,411938,1911510,1881316,4453516,490134,1368378,119085,0,903034,13125458,1998889,0,15124347,POINT (-90.5742294 42.1717426)
2011,49,JACKSON,1626786,362937,2376300,1345627,4184817,488169,1363702,125352,0,540049,12413739,1517546,0,13931285,POINT (-90.5742294 42.1717426)
2012,49,JACKSON,1712835,304533,2533359,1181847,4439558,518812,1350317,0,0,146350,12187611,1150005,0,13337616,POINT (-90.5742294 42.1717426)
2013,49,JACKSON,1878845,301780,1919644,1508735,4725067,590085,1534383,0,0,795689,13254228,990000,0,14244228,POINT (-90.5742294 42.1717426)
2014,49,JACKSON,2035680,275463,1019161,1590294,4957146,605520,1503583,0,0,436733,12423580,975850,0,13399430,POINT (-90.5742294 42.1717426)
2015,49,JACKSON,2101747,282240,848376,1216036,4744514,610223,1546571,0,0,591204,11940911,1064459,0,13005370,POINT (-90.5742294 42.1717426)
2016,49,JACKSON,2186446,261854,1133954,1737881,5086977,632898,1804235,0,0,575810,13420055,1081064,0,14501119,POINT (-90.5742294 42.1717426)
2017,49,JACKSON,2247107,257495,1255714,1532157,5362842,804228,1702094,0,0,730866,13892503,1101411,0,14993914,POINT (-90.5742294 42.1717426)
2018,49,JACKSON,2352799,255349,487512,1552729,5841259,661637,1867152,0,0,733909,13752346,1138893,0,14891239,POINT (-90.5742294 42.1717426)
2019,49,JACKSON,2468065,382869,372341,1410137,6316268,693820,1887646,0,0,851342,14382488,1151950,0,15534438,POINT (-90.5742294 42.1717426)
2020,49,Jackson,2611531,490480,478754,2014944,5989785,759748,1890875,0,0,1420357,15656474,1307500,0,16963974,POINT (-90.5742294 42.1717426)
2021,49,Jackson,2777702,453550,519649,1793324,6500228,781242,1797623,0,0,194503,14817821,1713200,0,16531021,POINT (-90.5742294 42.1717426)
2010,50,JASPER,4465663,1782277,3403261,1227491,5769586,938592,2608385,7279,1833025,34131,22069690,4442569,0,26512259,POINT (-93.053765 41.6860394)
2011,50,JASPER,4708465,1762649,3493689,1320539,5930388,848705,2767632,8156,1828698,416491,23085412,4264120,0,27349532,POINT (-93.053765 41.6860394)
2012,50,JASPER,4754835,1845469,4290164,1324085,6654975,914826,2786096,15830,3960276,1929465,28476021,4387623,0,32863644,POINT (-93.053765 41.6860394)
2013,50,JASPER,4921972,1870475,1525325,1835656,6082228,919728,2918078,6882,1915330,1283033,23278707,5065734,0,28344441,POINT (-93.053765 41.6860394)
2014,50,JASPER,5204064,1827066,1047698,1351463,5945041,957908,2923547,42394,2130053,1080414,22509648,5938481,0,28448129,POINT (-93.053765 41.6860394)
2015,50,JASPER,5650405,1820630,3327825,1380269,6631881,1044855,2872547,6564,1959179,1550193,26244348,6600039,0,32844387,POINT (-93.053765 41.6860394)
2016,50,JASPER,6000445,1699621,1031975,1433809,7544895,1519368,2670018,41318,1643934,694414,24279797,5354415,0,29634212,POINT (-93.053765 41.6860394)
2017,50,JASPER,5942801,1790930,931307,1418800,7282994,1410199,2752279,697362,1639423,1669789,25535884,4338305,0,29874189,POINT (-93.053765 41.6860394)
2018,50,JASPER,7080595,1950152,756136,1411004,10828263,1222174,3336665,203000,1854229,971449,29613667,5856294,3500000,38969961,POINT (-93.053765 41.6860394)
2019,50,JASPER,6887208,1919914,657060,1539377,10533729,1273686,3235511,156060,1591593,1209717,29003855,5271493,0,34275348,POINT (-93.053765 41.6860394)
2020,50,Jasper,7086925,1928931,1326143,1628017,8324215,1299940,3418537,201930,1390213,1670793,28275644,6149838,0,34425482,POINT (-93.053765 41.6860394)
2021,50,Jasper,7166470,1653014,972094,1998931,7728196,1321611,3438758,495285,1539760,269061,26583180,6022782,0,32605962,POINT (-93.053765 41.6860394)
2010,51,JEFFERSON,2656946,673560,1132966,651099,3026275,501278,833006,0,171309,987021,10633460,891029,0,11524489,POINT (-91.9488774 41.0317596)
2011,51,JEFFERSON,2636521,711320,1026053,794869,2979694,458670,858518,111048,195672,466681,10239046,1003958,0,11243004,POINT (-91.9488774 41.0317596)
2012,51,JEFFERSON,2745686,707100,1265630,585427,3495731,478680,918552,6682,197965,74576,10476029,993844,0,11469873,POINT (-91.9488774 41.0317596)
2013,51,JEFFERSON,2801025,759306,512371,627986,3617494,494551,802029,0,207640,1012892,10835294,1091893,0,11927187,POINT (-91.9488774 41.0317596)
2014,51,JEFFERSON,2760539,883660,564997,620350,3308762,523458,972005,2695,293940,225479,10155885,1031013,0,11186898,POINT (-91.9488774 41.0317596)
2015,51,JEFFERSON,2766197,802665,488824,650520,3567442,515498,1062606,9663,253450,67511,10184376,1214448,0,11398824,POINT (-91.9488774 41.0317596)
2016,51,JEFFERSON,2873710,816368,620756,655600,4131390,473110,1091855,3558,254700,330373,11251420,1151333,0,12402753,POINT (-91.9488774 41.0317596)
2017,51,JEFFERSON,3029692,826904,632539,661109,4224289,472939,1498290,7415,349508,2368489,14071174,1224281,0,15295455,POINT (-91.9488774 41.0317596)
2018,51,JEFFERSON,3304187,819690,482622,779811,4402570,562527,1264180,0,391986,372484,12380057,1286071,0,13666128,POINT (-91.9488774 41.0317596)
2019,51,JEFFERSON,3360445,836865,903176,803164,4276985,591928,1327497,0,377241,1235057,13712358,1000000,0,14712358,POINT (-91.9488774 41.0317596)
2020,51,Jefferson,3531245,767465,669923,784675,4242734,624555,1329539,0,919207,5031545,17900888,974146,0,18875034,POINT (-91.9488774 41.0317596)
2021,51,Jefferson,3687237,762628,822800,696587,4234475,602214,1498090,0,855329,3081006,16240366,1355632,0,17595998,POINT (-91.9488774 41.0317596)
2010,52,JOHNSON,26216985,8218866,10953617,3224959,7024958,1904883,6322705,978,6382036,7235100,77485087,21330764,0,98815851,POINT (-91.5880849 41.6715511)
2011,52,JOHNSON,19871195,8205473,11363511,3187060,7423009,1888060,6510655,2560,8007726,9319325,75778574,24476014,0,100254588,POINT (-91.5880849 41.6715511)
2012,52,JOHNSON,19581808,8171826,14222677,3407879,7571784,1970326,6909077,5845,3926299,7044603,72812124,24996113,0,97808237,POINT (-91.5880849 41.6715511)
2013,52,JOHNSON,19647446,8297650,7686479,3450285,8654877,2456568,7082947,3000,4537316,7053776,68870344,22730907,0,91601251,POINT (-91.5880849 41.6715511)
2014,52,JOHNSON,20445480,8498656,8368750,3581434,8615818,2005740,7554452,37907,11599144,9757506,80464887,19542052,0,100006939,POINT (-91.5880849 41.6715511)
2015,52,JOHNSON,20606731,8454081,6110948,3683062,8893785,2011967,7234671,4512,16030861,16143474,89174092,15419978,0,104594070,POINT (-91.5880849 41.6715511)
2016,52,JOHNSON,21051755,8989749,7682891,3997454,9045524,2157151,7678622,2975,14456495,11275840,86338456,20991020,0,107329476,POINT (-91.5880849 41.6715511)
2017,52,JOHNSON,21661805,9483296,7355898,4829270,9598853,2432236,7806882,2869,17063236,15526960,95761305,18900148,0,114661453,POINT (-91.5880849 41.6715511)
2018,52,JOHNSON,23533955,10085322,5723214,4987436,9686026,2383659,8339680,3748,7898457,15377635,88019132,30059465,0,118078597,POINT (-91.5880849 41.6715511)
2019,52,JOHNSON,24310814,11229588,5503710,5486791,9617854,2843179,8530194,5487,20760427,16340695,104628739,15267738,0,119896477,POINT (-91.5880849 41.6715511)
2020,52,Johnson,25616353,11277137,7214664,5940971,9913812,2599798,9860835,48748,21751859,17612042,111836219,17866786,0,129703005,POINT (-91.5880849 41.6715511)
2021,52,Johnson,25843696,12434760,7038621,6386143,10230704,3215712,9405800,42947,20458914,21613156,116670453,18395373,0,135065826,POINT (-91.5880849 41.6715511)
2010,53,JONES,2072627,765589,2132262,1704572,5254099,568562,1589379,77013,36705,1396919,15597727,1582500,0,17180227,POINT (-91.1314352 42.1212397)
2011,53,JONES,2156392,746654,2197543,939288,5491718,539799,1358826,84035,167265,108367,13789887,1932347,0,15722234,POINT (-91.1314352 42.1212397)
2012,53,JONES,2296951,726958,2819648,1413254,5399039,619073,1599182,37700,0,764407,15676212,1764000,0,17440212,POINT (-91.1314352 42.1212397)
2013,53,JONES,2403475,704028,1465957,823130,5827820,604219,1521516,579762,0,307378,14237285,1693284,0,15930569,POINT (-91.1314352 42.1212397)
2014,53,JONES,2414210,680042,1074722,759767,5602976,593308,1578294,623032,0,988117,14314468,1793620,0,16108088,POINT (-91.1314352 42.1212397)
2015,53,JONES,2544354,684731,1113787,856468,6234058,617770,1769490,178963,0,1018410,15018031,1943847,0,16961878,POINT (-91.1314352 42.1212397)
2016,53,JONES,2711244,716520,1141116,921596,6517508,792025,1786784,90570,0,739188,15416551,2042671,0,17459222,POINT (-91.1314352 42.1212397)
2017,53,JONES,2689689,718514,1159909,977881,6810165,674896,1714323,90775,400000,469151,15705303,2472377,0,18177680,POINT (-91.1314352 42.1212397)
2018,53,JONES,2996083,715706,795582,976636,6285831,717964,1815971,82243,383021,1874604,16643641,2273954,0,18917595,POINT (-91.1314352 42.1212397)
2019,53,JONES,3116311,756608,693951,1599487,6385498,737166,1756265,85676,450000,2335180,17916142,2245079,0,20161221,POINT (-91.1314352 42.1212397)
2020,53,Jones,3095571,782384,906253,1080890,7160889,771016,1810465,587898,450482,2094291,18740139,2338072,0,21078211,POINT (-91.1314352 42.1212397)
2021,53,Jones,3280933,752803,951729,992372,6610587,816585,1968643,185514,0,1846990,17406156,2736446,0,20142602,POINT (-91.1314352 42.1212397)
2010,54,KEOKUK,846912,535297,803395,350009,3386900,310858,1303348,0,0,357805,7894524,1108000,0,9002524,POINT (-92.1786426 41.336465)
2011,54,KEOKUK,919009,533160,857539,537400,3603159,316852,1973438,0,0,533971,9274528,1000000,0,10274528,POINT (-92.1786426 41.336465)
2012,54,KEOKUK,1002877,538931,1039757,352028,4076699,334582,1763625,0,2676,529239,9640414,1206374,0,10846788,POINT (-92.1786426 41.336465)
2013,54,KEOKUK,1062612,538917,457172,352895,5061188,329138,1807326,0,0,304243,9913491,1271500,0,11184991,POINT (-92.1786426 41.336465)
2014,54,KEOKUK,970969,558142,166180,355148,4394559,338558,1710151,0,0,293887,8787594,1309000,0,10096594,POINT (-92.1786426 41.336465)
2015,54,KEOKUK,1047965,575423,113007,358414,4502218,328109,1904434,0,0,253355,9082925,1321200,0,10404125,POINT (-92.1786426 41.336465)
2016,54,KEOKUK,1058535,542995,152384,360593,4557625,356845,1628218,0,0,597908,9255103,1618150,0,10873253,POINT (-92.1786426 41.336465)
2017,54,KEOKUK,1151687,564294,155087,368294,5131773,340862,1698696,0,0,761860,10172553,1714500,0,11887053,POINT (-92.1786426 41.336465)
2018,54,KEOKUK,1185348,573883,290761,392000,5512788,393816,1953432,0,0,277235,10579263,1765000,0,12344263,POINT (-92.1786426 41.336465)
2019,54,KEOKUK,1156050,578793,335299,479100,5669402,375255,1835679,0,199952,1552541,12182071,2192000,0,14374071,POINT (-92.1786426 41.336465)
2020,54,Keokuk,1131365,645932,344478,391908,7360737,372233,1710226,0,201395,805190,12963464,2087395,0,15050859,POINT (-92.1786426 41.336465)
2021,54,Keokuk,1257567,613382,425240,378774,5566672,371250,1745458,0,202955,400813,10962111,2180955,0,13143066,POINT (-92.1786426 41.336465)
2010,55,KOSSUTH,2306877,431789,2040796,827502,5667198,652511,1547002,68325,106883,1639490,15288373,2847556,0,18135929,POINT (-94.2067199 43.20413)
2011,55,KOSSUTH,2361263,380081,1953340,831176,6224734,656398,1559728,68668,141659,1532281,15709328,2916577,0,18625905,POINT (-94.2067199 43.20413)
2012,55,KOSSUTH,2535314,362195,2108822,895228,6212018,688867,1584730,68600,60000,1587277,16103051,2868900,0,18971951,POINT (-94.2067199 43.20413)
2013,55,KOSSUTH,2674849,303726,1552611,914535,6161792,731942,1710483,70343,0,1561301,15681582,2899200,0,18580782,POINT (-94.2067199 43.20413)
2014,55,KOSSUTH,2773493,326907,990954,910826,6551134,749941,1776164,79115,0,826796,14985330,2905841,0,17891171,POINT (-94.2067199 43.20413)
2015,55,KOSSUTH,2838463,267189,1121289,1065922,6971057,738681,1769588,82625,0,1732337,16587151,2795588,0,19382739,POINT (-94.2067199 43.20413)
2016,55,KOSSUTH,2939390,291758,816425,1029527,7285981,789523,2125128,83127,0,1892490,17253349,2802942,0,20056291,POINT (-94.2067199 43.20413)
2017,55,KOSSUTH,2957238,251849,877508,1077007,7351852,963834,2118680,83436,0,2264966,17946370,2805572,0,20751942,POINT (-94.2067199 43.20413)
2018,55,KOSSUTH,3083398,256617,674046,1040376,7170895,855167,2223481,7266711,0,2572549,25143240,2863123,0,28006363,POINT (-94.2067199 43.20413)
2019,55,KOSSUTH,3148976,244597,628262,1150996,7653167,861709,2466222,85158,0,1388223,17627310,2864441,0,20491751,POINT (-94.2067199 43.20413)
2020,55,Kossuth,3468236,338489,700455,1143065,7561789,972401,2681334,56224,0,2253491,19175484,3143749,0,22319233,POINT (-94.2067199 43.20413)
2021,55,Kossuth,3781089,323419,543549,1201876,7115900,921231,2666153,66535,0,1957298,18577050,2783537,0,21360587,POINT (-94.2067199 43.20413)
2010,56,LEE,3818972,3348951,4645730,1492312,3843629,895549,2172080,590359,747088,2416063,23970733,1243000,0,25213733,POINT (-91.479264 40.6419764)
2011,56,LEE,4130938,3502776,4240904,1304249,4119542,903131,2342500,52220,818097,451538,21865895,1250000,0,23115895,POINT (-91.479264 40.6419764)
2012,56,LEE,4333091,3696239,5942006,1082433,4632671,946191,2039097,28358,813334,621159,24134579,1310000,0,25444579,POINT (-91.479264 40.6419764)
2013,56,LEE,4345163,4190103,4048136,1211689,4817455,970425,2046623,14108,815576,116441,22575719,1410000,0,23985719,POINT (-91.479264 40.6419764)
2014,56,LEE,4425285,4222471,1714601,1342100,5323297,915813,1979813,11667,893244,592822,21421113,1589525,0,23010638,POINT (-91.479264 40.6419764)
2015,56,LEE,4676824,4319594,1186244,1290391,4475545,919240,2137878,62076,906756,2706684,22681232,1589775,0,24271007,POINT (-91.479264 40.6419764)
2016,56,LEE,4913235,4482626,1171231,1528846,5631533,1085287,2167497,160652,996738,8630854,30768499,1710982,6043147,38522628,POINT (-91.479264 40.6419764)
2017,56,LEE,5726382,4493874,1119355,1759646,5574983,1280524,2137333,987375,935845,260843,24276160,1722282,0,25998442,POINT (-91.479264 40.6419764)
2018,56,LEE,6280674,4614291,1339504,1453862,5046294,1181467,2922849,68273,1018024,254199,24179437,2031998,0,26211435,POINT (-91.479264 40.6419764)
2019,56,LEE,6524674,4269934,1561270,1511249,5734394,1200099,2300061,96596,857374,878497,24934148,1879984,0,26814132,POINT (-91.479264 40.6419764)
2020,56,Lee,7094412,4258974,1258595,1605654,5401679,1322113,2349719,27010,871645,449829,24639630,2331565,0,26971195,POINT (-91.479264 40.6419764)
