"GEOID","ï..County.x","Total","Retired.workers","Spouses","Children","Widow.er.s.and.parents","Children.1","Disabled.workers","Spouses.1","Children.2","Men..above.65.","Women..above.65.","ï..County.y","d2020","Total.disabled.population.of.all.ages.Pct","Total.disabled.population.of.all.ages"
19093,"Ida","2,393","1,896","51",8,"212","30","186","0",9,"1,101","1,009","Fremont",6605,0.135503407,895
19095,"Iowa","5,523","4,530","69",15,"293","85","502","1",27,"2,405","2,278","Greene",8771,0.172044237,1509
19097,"Jackson","6,846","5,381","120",53,"408","199","654","3",27,"3,024","2,592","Grundy",12329,0.099034796,1221
19099,"Jasper","12,592","9,889","191",55,"688","268","1,439","5",57,"5,278","5,028","Sac",9814,0.09934787,975
19101,"Jefferson","5,995","4,964","154",32,"299","87","442","1",17,"2,842","2,390","Guthrie",10623,0.120963946,1285
19103,"Johnson","34,236","28,371","664",230,"1,446","673","2,714","6",132,"14,744","14,833","Hamilton",15039,0.112175012,1687
19105,"Jones","6,903","5,562","123",30,"419","105","627","5",32,"3,126","2,761","Scott",174669,0.103979527,18162
19107,"Keokuk","3,459","2,723","54",18,"212","55","380","0",17,"1,547","1,359","Hancock",10795,0.135988884,1468
19109,"Kossuth","5,673","4,633","105",17,"422","83","396","0",17,"2,649","2,378","Shelby",11746,0.1131449,1329
19111,"Lee","12,269","9,595","184",51,"734","219","1,417","3",67,"5,158","4,950","Hardin",16878,0.122052376,2060
19113,"Linn","67,781","54,855","1,145",339,"3,491","1,098","6,523","14",317,"28,773","28,459","Harrison",14582,0.121108216,1766
19115,"Louisa","3,572","2,861","55",16,"197","56","368","0",18,"1,598","1,382","Sioux",35872,0.088509144,3175
19117,"Lucas","3,008","2,350","53",21,"199","43","316","2",24,"1,313","1,165","Henry",20482,0.130358363,2670
19119,"Lyon","3,170","2,568","75",4,"246","49","213","0",16,"1,473","1,359","Howard",9469,0.08818249,835
19121,"Madison","5,081","4,181","72",20,"256","102","426","2",21,"2,267","2,072","Story",98537,0.080893471,7971
19123,"Mahaska","6,671","5,245","129",31,"412","102","715","3",34,"2,894","2,678","Humboldt",9597,0.14056476,1349
19125,"Marion","10,790","8,571","168",68,"654","176","1,098","5",51,"4,668","4,322","Tama",17135,0.103472425,1773
19127,"Marshall","12,857","10,297","211",70,"703","211","1,303","4",59,"5,728","5,048","Ida",7005,0.117344754,822
19129,"Mills","4,917","3,835","74",58,"229","198","486","a",36,"2,073","1,895","Iowa",16662,0.113311727,1888
19131,"Mitchell","3,497","2,885","61",10,"257","45","229","0",12,"1,628","1,466","Taylor",5896,0.146031208,861
19133,"Monona","3,353","2,580","53",20,"300","64","314","2",20,"1,441","1,381","Jackson",19485,0.114908904,2239
