"GEOID","ï..County","Total","Aged","Blind.and.disabled","Under.18","X18â..64","X65.or.older","SSI.recipients.also.receiving.OASDI","Amount.of.payments..thousands.of.dollars..a","County","stateName","state","pop2010","noaa_long","noaa_short","RUCC_2013","OMB_popDivision","igfi_popDivision"
19087,"Henry","307",14,"293","55","210","42","98","182","Henry","Iowa","IA",20145,"Southeast","SE",6,"nonmetropolitan","Non-Metro"
19089,"Howard","112",NA,"","16","80","16","39","68","Howard","Iowa","IA",9566,"Northeast","NE",6,"nonmetropolitan","Non-Metro"
19091,"Humboldt","153",NA,"","28","97","28","72","82","Humboldt","Iowa","IA",9815,"North Central","NC",7,"nonmetropolitan","Non-Metro"
19093,"Ida","69",NA,"","","46","","27","36","Ida","Iowa","IA",7089,"West Central","WC",8,"nonmetropolitan","Non-Metro"
19095,"Iowa","169",10,"159","21","119","29","75","97","Iowa","Iowa","IA",16355,"East Central","EC",6,"nonmetropolitan","Non-Metro"
19097,"Jackson","364",10,"354","61","271","32","116","237","Jackson","Iowa","IA",19848,"East Central","EC",6,"nonmetropolitan","Non-Metro"
19099,"Jasper","580",23,"557","85","425","70","204","337","Jasper","Iowa","IA",36842,"Central","C",6,"micropolitan","Micropolitan"
19101,"Jefferson","343",70,"273","40","196","107","147","184","Jefferson","Iowa","IA",16843,"Southeast","SE",7,"micropolitan","Micropolitan"
19103,"Johnson","1,798",135,"1,663","356","1,186","256","573","1,073","Johnson","Iowa","IA",130882,"East Central","EC",3,"metropolitan","Metropolitan"
19105,"Jones","303",12,"291","51","212","40","116","172","Jones","Iowa","IA",20638,"East Central","EC",2,"metropolitan","Metropolitan"
19107,"Keokuk","204",11,"193","20","159","25","76","108","Keokuk","Iowa","IA",10511,"Southeast","SE",8,"nonmetropolitan","Non-Metro"
19109,"Kossuth","159",11,"148","17","117","25","63","86","Kossuth","Iowa","IA",15543,"North Central","NC",7,"nonmetropolitan","Non-Metro"
19111,"Lee","895",35,"860","115","627","153","320","512","Lee","Iowa","IA",35862,"Southeast","SE",5,"micropolitan","Micropolitan"
19113,"Linn","3,962",229,"3,733","728","2,693","541","1,216","2,422","Linn","Iowa","IA",211226,"East Central","EC",2,"metropolitan","Metropolitan"
19115,"Louisa","163",NA,"","15","125","23","59","97","Louisa","Iowa","IA",11387,"Southeast","SE",8,"nonmetropolitan","Non-Metro"
19117,"Lucas","175",15,"160","15","116","44","69","91","Lucas","Iowa","IA",8898,"South Central","SC",6,"nonmetropolitan","Non-Metro"
19119,"Lyon","53",NA,"","","29","","19","27","Lyon","Iowa","IA",11581,"Northwest","NW",8,"nonmetropolitan","Non-Metro"
19121,"Madison","143",NA,"","20","99","24","53","78","Madison","Iowa","IA",15679,"South Central","SC",2,"metropolitan","Metropolitan"
19123,"Mahaska","441",27,"414","58","317","66","168","263","Mahaska","Iowa","IA",22381,"Southeast","SE",7,"micropolitan","Micropolitan"
19125,"Marion","418",31,"387","55","298","65","141","252","Marion","Iowa","IA",33309,"South Central","SC",6,"nonmetropolitan","Non-Metro"
19127,"Marshall","618",48,"570","86","409","123","229","360","Marshall","Iowa","IA",40648,"Central","C",4,"micropolitan","Micropolitan"
19129,"Mills","210",NA,"","30","162","18","60","105","Mills","Iowa","IA",15059,"Southwest","SW",2,"metropolitan","Metropolitan"
19131,"Mitchell","97",NA,"","10","73","14","38","52","Mitchell","Iowa","IA",10776,"North Central","NC",7,"nonmetropolitan","Non-Metro"
19133,"Monona","159",NA,"","24","108","27","62","88","Monona","Iowa","IA",9243,"West Central","WC",6,"nonmetropolitan","Non-Metro"
19135,"Monroe","105",NA,"","18","72","15","33","65","Monroe","Iowa","IA",7970,"South Central","SC",7,"nonmetropolitan","Non-Metro"
19137,"Montgomery","274",NA,"","37","199","38","96","167","Montgomery","Iowa","IA",10740,"Southwest","SW",6,"nonmetropolitan","Non-Metro"
19139,"Muscatine","857",39,"818","131","602","124","275","498","Muscatine","Iowa","IA",42745,"East Central","EC",4,"micropolitan","Micropolitan"
19141,"O'Brien","177",NA,"","22","131","24","56","89","O'Brien","Iowa","IA",14398,"Northwest","NW",7,"nonmetropolitan","Non-Metro"
19143,"Osceola","48",NA,"","","33","","25","25","Osceola","Iowa","IA",6462,"Northwest","NW",7,"nonmetropolitan","Non-Metro"
19145,"Page","352",14,"338","55","235","62","160","187","Page","Iowa","IA",15932,"Southwest","SW",6,"nonmetropolitan","Non-Metro"
19147,"Palo Alto","130",NA,"","26","86","18","43","67","Palo Alto","Iowa","IA",9421,"Northwest","NW",7,"nonmetropolitan","Non-Metro"
19149,"Plymouth","206",12,"194","32","147","27","77","112","Plymouth","Iowa","IA",24986,"Northwest","NW",3,"metropolitan","Metropolitan"
19151,"Pocahontas","101",NA,"","11","76","14","32","56","Pocahontas","Iowa","IA",7310,"Northwest","NW",9,"nonmetropolitan","Non-Metro"
19153,"Polk","8,133",829,"7,304","1,236","5,117","1,780","2,422","4,864","Polk","Iowa","IA",430640,"Central","C",2,"metropolitan","Metropolitan"
19155,"Pottawattamie","2,191",65,"2,126","324","1,624","243","758","1,287","Pottawattamie","Iowa","IA",93158,"Southwest","SW",2,"metropolitan","Metropolitan"
19157,"Poweshiek","214",12,"202","28","153","33","80","122","Poweshiek","Iowa","IA",18914,"Central","C",7,"nonmetropolitan","Non-Metro"
19159,"Ringgold","92",NA,"","","65","","36","49","Ringgold","Iowa","IA",5131,"South Central","SC",9,"nonmetropolitan","Non-Metro"
19161,"Sac","97",16,"81","16","54","27","51","50","Sac","Iowa","IA",10350,"West Central","WC",9,"nonmetropolitan","Non-Metro"
19163,"Scott","4,020",187,"3,833","768","2,685","567","1,196","2,460","Scott","Iowa","IA",165224,"East Central","EC",2,"metropolitan","Metropolitan"
19165,"Shelby","188",NA,"","28","141","19","69","108","Shelby","Iowa","IA",12167,"West Central","WC",6,"nonmetropolitan","Non-Metro"
19167,"Sioux","191",NA,"","36","134","21","65","104","Sioux","Iowa","IA",33704,"Northwest","NW",7,"nonmetropolitan","Non-Metro"
19169,"Story","748",47,"701","146","504","98","233","465","Story","Iowa","IA",89542,"Central","C",3,"metropolitan","Metropolitan"
19171,"Tama","181",12,"169","30","125","26","59","101","Tama","Iowa","IA",17767,"Central","C",6,"nonmetropolitan","Non-Metro"
19173,"Taylor","93",10,"83","16","56","21","41","49","Taylor","Iowa","IA",6317,"Southwest","SW",9,"nonmetropolitan","Non-Metro"
19175,"Union","260",12,"248","41","177","42","114","156","Union","Iowa","IA",12534,"South Central","SC",6,"nonmetropolitan","Non-Metro"
19177,"Van Buren","128",NA,"","13","89","26","57","66","Van Buren","Iowa","IA",7570,"Southeast","SE",9,"nonmetropolitan","Non-Metro"
19179,"Wapello","1,076",42,"1,034","137","767","172","406","635","Wapello","Iowa","IA",35625,"Southeast","SE",5,"micropolitan","Micropolitan"
19181,"Warren","431",16,"415","64","310","57","135","253","Warren","Iowa","IA",46225,"South Central","SC",2,"metropolitan","Metropolitan"
19183,"Washington","340",20,"320","60","237","43","103","193","Washington","Iowa","IA",21704,"Southeast","SE",3,"metropolitan","Metropolitan"
19185,"Wayne","132",NA,"","18","86","28","55","78","Wayne","Iowa","IA",6403,"South Central","SC",9,"nonmetropolitan","Non-Metro"
19187,"Webster","766",29,"737","85","578","103","287","449","Webster","Iowa","IA",38013,"Central","C",5,"micropolitan","Micropolitan"
19189,"Winnebago","118",NA,"","16","91","11","48","77","Winnebago","Iowa","IA",10866,"North Central","NC",7,"nonmetropolitan","Non-Metro"
19191,"Winneshiek","149",11,"138","14","108","27","76","78","Winneshiek","Iowa","IA",21056,"Northeast","NE",7,"nonmetropolitan","Non-Metro"
19193,"Woodbury","1,962",112,"1,850","290","1,310","362","721","1,079","Woodbury","Iowa","IA",102172,"West Central","WC",3,"metropolitan","Metropolitan"
19195,"Worth","77",NA,"","20","47","10","24","45","Worth","Iowa","IA",7598,"North Central","NC",9,"micropolitan","Micropolitan"
19197,"Wright","171",14,"157","27","117","27","54","91","Wright","Iowa","IA",13229,"North Central","NC",7,"nonmetropolitan","Non-Metro"
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
