County,GEOID,Total,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men (above 65),Women (above 65)
Dallas,19049,"21,381","17,662",445,83,"1,136",372,"1,583",2,98,"9,188","9,351"
Davis,19051,"2,407","1,909",47,12,152,50,224,0,13,"1,042",986
Decatur,19053,"2,379","1,861",48,11,140,44,266,0,9,"1,055",926
Delaware,19055,"5,428","4,336",119,19,398,70,460,2,23,"2,498","2,141"
Des Moines,19057,"14,212","11,250",207,62,832,243,"1,542",2,73,"5,934","5,909"
Dickinson,19059,"8,117","6,932",150,30,472,78,436,2,18,"3,860","3,413"
Dubuque,19061,"31,586","25,284",577,166,"2,048",539,"2,832",7,133,"13,694","13,187"
Emmet,19063,"3,350","2,655",59,11,232,54,324,0,15,"1,509","1,352"
Fayette,19065,"6,741","5,298",137,26,489,135,627,2,26,"2,968","2,751"
Floyd,19067,"5,641","4,409",92,46,376,138,553,3,23,"2,459","2,290"
Franklin,19069,"3,423","2,794",64,22,201,55,271,0,15,"1,578","1,395"
Fremont,19071,"2,594","2,107",35,13,117,45,266,a,10,"1,131","1,048"
Greene,19073,"3,423","2,778",70,11,203,46,302,0,12,"1,534","1,438"
Grundy,19075,"4,498","3,691",78,14,312,65,323,1,14,"2,063","1,872"
Guthrie,19077,"4,334","3,552",64,23,276,60,342,0,16,"1,963","1,779"
Hamilton,19079,"5,044","4,027",82,17,353,90,455,0,20,"2,188","2,127"
Hancock,19081,"3,777","3,083",76,9,266,35,294,2,13,"1,764","1,561"
Hardin,19083,"6,055","4,902",105,9,414,96,513,0,15,"2,658","2,583"
Harrison,19085,"4,761","3,716",66,23,304,108,521,1,23,"2,045","1,861"
Henry,19087,"6,561","5,296",92,25,365,99,651,0,33,"2,747","2,800"
Howard,19089,"3,090","2,463",67,7,247,49,248,0,8,"1,410","1,261"
Humboldt,19091,"3,236","2,556",71,11,260,49,272,1,16,"1,494","1,304"
Ida,19093,"2,393","1,896",51,8,212,30,186,0,9,"1,101","1,009"
Iowa,19095,"5,523","4,530",69,15,293,85,502,1,27,"2,405","2,278"
Jackson,19097,"6,846","5,381",120,53,408,199,654,3,27,"3,024","2,592"
Jasper,19099,"12,592","9,889",191,55,688,268,"1,439",5,57,"5,278","5,028"
Jefferson,19101,"5,995","4,964",154,32,299,87,442,1,17,"2,842","2,390"
Johnson,19103,"34,236","28,371",664,230,"1,446",673,"2,714",6,132,"14,744","14,833"
Jones,19105,"6,903","5,562",123,30,419,105,627,5,32,"3,126","2,761"
Keokuk,19107,"3,459","2,723",54,18,212,55,380,0,17,"1,547","1,359"
Kossuth,19109,"5,673","4,633",105,17,422,83,396,0,17,"2,649","2,378"
Lee,19111,"12,269","9,595",184,51,734,219,"1,417",3,67,"5,158","4,950"
Linn,19113,"67,781","54,855","1,145",339,"3,491","1,098","6,523",14,317,"28,773","28,459"
Louisa,19115,"3,572","2,861",55,16,197,56,368,0,18,"1,598","1,382"
Lucas,19117,"3,008","2,350",53,21,199,43,316,2,24,"1,313","1,165"
Lyon,19119,"3,170","2,568",75,4,246,49,213,0,16,"1,473","1,359"
Madison,19121,"5,081","4,181",72,20,256,102,426,2,21,"2,267","2,072"
Mahaska,19123,"6,671","5,245",129,31,412,102,715,3,34,"2,894","2,678"
Marion,19125,"10,790","8,571",168,68,654,176,"1,098",5,51,"4,668","4,322"
Marshall,19127,"12,857","10,297",211,70,703,211,"1,303",4,59,"5,728","5,048"
Mills,19129,"4,917","3,835",74,58,229,198,486,a,36,"2,073","1,895"
Mitchell,19131,"3,497","2,885",61,10,257,45,229,0,12,"1,628","1,466"
Monona,19133,"3,353","2,580",53,20,300,64,314,2,20,"1,441","1,381"
Monroe,19135,"2,521","1,962",38,15,174,50,270,0,14,"1,025","1,028"
Montgomery,19137,"3,948","3,088",51,13,248,53,474,1,21,"1,621","1,652"
Muscatine,19139,"13,442","10,787",230,63,753,249,"1,305",5,50,"5,868","5,324"
O'Brien,19141,"4,713","3,706",98,40,381,103,371,0,13,"2,133","1,932"
Osceola,19143,"1,985","1,553",44,8,171,41,165,0,4,861,847
Page,19145,"5,712","4,485",74,41,341,118,617,4,32,"2,460","2,296"
Palo Alto,19147,"3,035","2,351",48,18,269,80,258,1,9,"1,336","1,259"
Plymouth,19149,"7,950","6,428",154,28,535,151,617,2,36,"3,585","3,297"
Pocahontas,19151,"2,566","2,054",60,5,189,35,210,0,13,"1,171","1,056"
Polk,19153,"123,308","98,853","1,960",656,"6,320","2,251","12,656",25,588,"50,410","52,948"
Pottawattamie,19155,"28,545","21,599",386,141,"1,677",629,"3,901",6,206,"11,235","11,557"
