Unique Line ID,Fiscal Year Ending,County,County Name,Public Safety & Legal Services,Physical Health & Social Services,"Mental Health MR, DD",County Environment & Education,Roads & Transportation,Government Services to Residents,Administration,Nonprogram Current,Debt Service,Capital Projects,Sub-Total Expenditures,Operating Transfers Out,Refunded Debt/Escrow,Total Expenditures,Increase (Decrease) in Reserves,Total Ending Fund Balance,Total Requirements,Primary County Coordinates
2013_50_JASPER_EXPEND_SA,2013,50,JASPER,5240269,1596308,4999314,1408204,6638780,1004057,3173203,30500,1902280,500377,26493292,4498313,0,30991605,0,6911277,37902882,POINT (-93.053765 41.6860394)
2009_22_CLAYTON_EXPEND_SA,2009,22,CLAYTON,2379331,575359,2111494,1112027,5679553,559962,1496031,1300,382725,2705000,17002782,1350000,0,18352782,0,4591063,22943845,POINT (-91.34143280000002 42.8447493)
2005_25_DALLAS_EXPEND_SA,2005,25,DALLAS,4357528,2601012,3616240,1701869,4671316,872538,3321686,212787,1086538,1125014,23566528,1868188,,25434716,0,7030291,32465007,POINT (-94.0397374 41.6848862)
2014_83_SHELBY_EXPEND_SA,2014,83,SHELBY,2139512,631942,1539889,433629,4565164,425347,1260111,11000,133824,562500,11702918,2853326,0,14556244,0,2330142,16886386,POINT (-95.31021130000002 41.6850926)
2013_94_WEBSTER_EXPEND_SA,2013,94,WEBSTER,5405177,2678524,4775657,1616634,6790000,894278,2747675,1758716,926374,2980000,30573035,3252818,0,33825853,0,10059062,43884915,POINT (-94.18178810000002 42.4279662)
2015_57_LINN_EXPEND_SA,2015,57,LINN,24888353,16741784,22586849,7032531,12504928,4266008,14455895,0,1750513,11131508,115358369,18158571,0,133516940,0,24416193,157933133,POINT (-91.5989646 42.0789478)
2007_91_WARREN_EXPEND_SA,2007,91,WARREN,3956650,2293252,3137044,874649,5289796,651863,2215120,0,700690,994765,20113829,2033483,,22147312,0,3498639,25645951,POINT (-93.5613594 41.3343735)
2021_30_DICKINSON_EXPEND_SA,2021,30,DICKINSON,3261986,603797,525996,7554432,6186060,945514,2619160,117300,1338330,2250000,25402575,4843260,0,30245835,0,9022338,39268173,POINT (-95.1508301 43.3779848)
2021_67_MONONA_EXPEND_SA,2021,67,MONONA,2330056,338607,216975,994628,6969931,575204,1870951,0,0,1591592,14887944,2036441,0,16924385,0,7908370,24832755,POINT (-95.9599235 42.0516663)
2021_62_MAHASKA_EXPEND_SA,2021,62,MAHASKA,4643494,791979,847555,1344023,7305900,701361,1671290,0,1120633,5470000,23896235,2916400,0,26812635,0,6647673,33460308,POINT (-92.6409094 41.3352035)
2018_73_PAGE_EXPEND_SA,2018,73,PAGE,3472852,577618,514890,483248,4540000,614756,1428192,3000,423087,745000,12802643,1433250,0,14235893,0,5294121,19530014,POINT (-95.1501747 40.7391444)
2021_18_CHEROKEE_EXPEND_SA,2021,18,CHEROKEE,2800609,399608,504031,1143734,5963424,630260,1623556,75000,0,8860000,22000222,2228787,0,24229009,0,1413410,25642419,POINT (-95.6238055 42.7356226)
2019_1_ADAIR_EXPEND_SA,2019,1,ADAIR,1861550,263315,273000,533069,5267881,465751,928240,0,2299210,10016739,21908755,1464609,0,23373364,0,6594337,29967701,POINT (-94.4709413 41.3307464)
2008_5_AUDUBON_EXPEND_SA,2008,5,AUDUBON,925031,591039,834600,509093,2882322,291065,684777,1120,412039,340575,7471661,637253,0,8108914,0,2302776,10411690,POINT (-94.9058222 41.6845893)
2022_42_HARDIN_EXPEND_SA,2022,42,HARDIN,5540767,530463,335543,2964759,7661000,768021,3027828,324282,213364,636500,22002527,2089465,0,24091992,0,5382106,29474098,POINT (-93.2404025 42.3838803)
2019_90_WAPELLO_EXPEND_SA,2019,90,WAPELLO,4433982,1143318,2037436,922965,5454204,725306,3087282,77943,780056,3002000,21664492,1200000,0,22864492,0,8639596,31504088,POINT (-92.4094499 41.03058450000001)
2008_24_CRAWFORD_EXPEND_SA,2008,24,CRAWFORD,1557600,2071597,2317210,800358,5028900,488164,1294128,0,167400,1330655,15056012,1145000,0,16201012,0,4139445,20340457,POINT (-95.3819678 42.0372125)
2010_71_O'BRIEN_EXPEND_SA,2010,71,O'BRIEN,2779231,589525,2118250,772896,3715300,511087,929127,8500,377560,452500,12253976,1230278,0,13484254,0,2079465,15563719,POINT (-95.6248784 43.0837527)
2018_80_RINGGOLD_EXPEND_SA,2018,80,RINGGOLD,1410831,876019,607209,322755,3371814,284186,842089,0,488119,393000,8596022,754780,0,9350802,0,3152064,12502866,POINT (-94.2439719 40.7352023)
2020_45_HOWARD_EXPEND_SA,2020,45,HOWARD,2002374,448172,509466,2581023,4659539,488797,1272681,5000,1868809,1032606,14868467,2038742,0,16907209,0,4517468,21424677,POINT (-92.3171989 43.3567673)
2009_41_HANCOCK_EXPEND_SA,2009,41,HANCOCK,1424257,2392665,1487500,548501,4495300,359830,1042524,5750,0,1596043,13352370,1690793,0,15043163,0,5925870,20969033,POINT (-93.7342723 43.0818861)
2005_38_GRUNDY_EXPEND_SA,2005,38,GRUNDY,1305557,549439,1181913,1172275,3274962,340530,1162176,0,199095,2728290,11914237,1036539,,12950776,0,2933914,15884690,POINT (-92.7914177 42.4018651)
2020_34_FLOYD_EXPEND_SA,2020,34,FLOYD,3509852,1680076,969080,823640,6603400,734121,1480410,0,1581940,9424881,26807400,1425418,0,28232818,0,8489542,36722360,POINT (-92.78900330000002 43.0599208)
2017_78_POTTAWATTAMIE_EXPEND_SA,2017,78,POTTAWATTAMIE,28403924,5193520,3161149,6805598,15309835,2436536,7753564,0,3895588,2305000,75264714,9425000,0,84689714,0,23854753,108544467,POINT (-95.5423935 41.3366123)
2022_21_CLAY_EXPEND_SA,2022,21,CLAY,3645599,719087,253484,1706015,5863826,971936,3028805,458000,856582,4299847,21803181,2225283,0,24028464,0,13454716,37483180,POINT (-95.1509194 43.0825804)
2017_41_HANCOCK_EXPEND_SA,2017,41,HANCOCK,1905574,339266,392443,609797,5800733,509478,1189655,16300,0,906000,11669246,2105483,0,13774729,0,5432041,19206770,POINT (-93.7342723 43.0818861)
2021_40_HAMILTON_EXPEND_SA,2021,40,HAMILTON,3798906,1823308,509015,2484214,5602000,579695,2048789,0,2802731,979835,20628493,3670536,0,24299029,0,4440211,28739240,POINT (-93.7068085 42.3837722)
2019_97_WOODBURY_EXPEND_SA,2019,97,WOODBURY,18349976,5315349,2340330,3077573,8500174,2570165,6496913,885641,2276507,4819050,54631678,9131494,0,63763172,922521,8996058,71836709,POINT (-96.0447673 42.3897169)
2005_26_DAVIS_EXPEND_SA,2005,26,DAVIS,805420,276655,829000,242218,2450000,316366,742637,20000,0,534000,6216296,584179,,6800475,0,710192,7510667,POINT (-92.4097173 40.7476891)
2017_67_MONONA_EXPEND_SA,2017,67,MONONA,1998949,535516,206908,909488,5738358,501339,1663122,0,0,2981592,14535272,1626616,0,16161888,0,4818214,20980102,POINT (-95.9599235 42.0516663)
2011_58_LOUISA_EXPEND_SA,2011,58,LOUISA,2179058,652212,1390725,3685247,3002682,264112,1130731,0,355600,1100383,13760750,1711836,0,15472586,0,3010834,18483420,POINT (-91.2596184 41.2185073)
2007_60_LYON_EXPEND_SA,2007,60,LYON,2166249,708198,1012037,690214,3378540,382272,873590,17420,286345,707045,10221910,1043000,,11264910,0,2890450,14155360,POINT (-96.2102924 43.380497)
2008_93_WAYNE_EXPEND_SA,2008,93,WAYNE,777608,705318,756498,501896,2597100,233058,714291,49450,25000,87000,6447219,488085,0,6935304,0,1098294,8033598,POINT (-93.3273639 40.73947020000001)
2021_45_HOWARD_EXPEND_SA,2021,45,HOWARD,2288219,458236,365150,2447178,4978059,478561,1297913,5000,1083747,1127772,14529835,2000370,0,16530205,0,5086539,21616744,POINT (-92.3171989 43.3567673)
2005_53_JONES_EXPEND_SA,2005,53,JONES,1678694,841517,2250595,580483,4934431,403522,956872,33069,0,2464000,14143183,962500,,15105683,0,3352109,18457792,POINT (-91.1314352 42.1212397)
2015_66_MITCHELL_EXPEND_SA,2015,66,MITCHELL,1657729,1831277,503700,1487990,3990000,346227,1403602,0,2781929,4650000,18652454,1211630,0,19864084,0,7690376,27554460,POINT (-92.7890315 43.3564124)
2019_24_CRAWFORD_EXPEND_SA,2019,24,CRAWFORD,2693089,2647706,491540,1047781,7958250,759502,1452533,0,155000,1080000,18285401,3721000,0,22006401,0,7087281,29093682,POINT (-95.3819678 42.0372125)
2012_32_EMMET_EXPEND_SA,2012,32,EMMET,1608203,705528,1728427,452261,3044829,406618,1044619,130000,0,48764,9169249,840066,0,10009315,0,1045704,11055019,POINT (-94.6784803 43.37802250000001)
2018_1_ADAIR_EXPEND_SA,2018,1,ADAIR,1557867,284925,252000,515771,5175374,448825,888357,0,1653740,9979173,20756032,1397472,0,22153504,0,5827678,27981182,POINT (-94.4709413 41.3307464)
2005_15_CASS_EXPEND_SA,2005,15,CASS,1555968,469270,1885100,527652,3581675,528674,896856,443000,0,1565514,11453709,1243457,,12697166,0,1328149,14025315,POINT (-94.9278266 41.3314876)
2022_27_DECATUR_EXPEND_SA,2022,27,DECATUR,1908949,710072,529771,1633347,3811591,422767,935884,0,259190,136200,10347771,668691,0,11016462,0,2301431,13317893,POINT (-93.7862815 40.7376827)
2010_76_POCAHONTAS_EXPEND_SA,2010,76,POCAHONTAS,1650883,1574116,1126116,943927,4026292,344515,1217985,7385,0,960000,11851219,950000,0,12801219,0,1264751,14065970,POINT (-94.67874660000001 42.73413510000001)
2019_45_HOWARD_EXPEND_SA,2019,45,HOWARD,1936976,440546,630628,2259558,4878592,457547,1237744,5000,1908911,3830906,17586408,1929366,0,19515774,0,3912229,23428003,POINT (-92.3171989 43.3567673)
2006_86_TAMA_EXPEND_SA,2006,86,TAMA,2780325,1250743,2030123,593654,5731474,681051,1164964,13000,0,2834901,17080235,1513413,,18593648,0,1732258,20325906,POINT (-92.5325425 42.07981170000001)
2022_78_POTTAWATTAMIE_EXPEND_SA,2022,78,POTTAWATTAMIE,36012813,4611229,2175518,7953612,16053596,2572543,9037818,0,3016600,4665000,86098729,8195450,0,94294179,0,41530433,135824612,POINT (-95.5423935 41.3366123)
2021_77_POLK_EXPEND_SA,2021,77,POLK,87975100,42252168,32265504,19265332,12154957,8805949,39545142,0,20539363,37433111,300236626,35469553,0,335706179,0,85551925,421258104,POINT (-93.5735335 41.6855048)
2018_12_BUTLER_EXPEND_SA,2018,12,BUTLER,2415781,1385187,634402,975747,5900000,604293,2042347,2500,592855,2204283,16757395,2457115,0,19214510,0,4009606,23224116,POINT (-92.7901934 42.7315661)
2012_27_DECATUR_EXPEND_SA,2012,27,DECATUR,1003376,1278697,1104978,392792,3062983,298010,684219,0,0,245000,8070055,458000,0,8528055,0,1868732,10396787,POINT (-93.7862815 40.7376827)
2012_93_WAYNE_EXPEND_SA,2012,93,WAYNE,1074487,896348,732341,480813,3285947,254693,550424,38200,401331,1196334,8910918,514758,0,9425676,0,1645319,11070995,POINT (-93.3273639 40.73947020000001)
2008_76_POCAHONTAS_EXPEND_SA,2008,76,POCAHONTAS,1330707,1597017,1144608,775636,3892300,325150,1070458,6885,0,412800,10555561,650000,0,11205561,0,4980729,16186290,POINT (-94.67874660000001 42.73413510000001)
2010_10_BUCHANAN_EXPEND_SA,2010,10,BUCHANAN,2391514,350296,3162226,1086506,5221000,553581,2136582,50823,473903,4255952,19682383,2132037,0,21814420,0,2851754,24666174,POINT (-91.8378392 42.4707777)
2006_12_BUTLER_EXPEND_SA,2006,12,BUTLER,1446305,1252140,1191850,667811,3870100,482946,1183561,2000,48883,1099000,11244596,1165350,,12409946,0,4597909,17007855,POINT (-92.7901934 42.7315661)
2018_44_HENRY_EXPEND_SA,2018,44,HENRY,3741107,1056533,933289,1128251,5159700,713698,1588886,68200,233000,1169000,15791664,1564229,0,17355893,0,4186426,21542319,POINT (-91.5445241 40.9879383)
