Unique Line ID,Fiscal Year Ending,County,County Name,Public Safety & Legal Services,Physical Health & Social Services,"Mental Health MR, DD",County Environment & Education,Roads & Transportation,Government Services to Residents,Administration,Nonprogram Current,Debt Service,Capital Projects,Sub-Total Expenditures,Operating Transfers Out,Refunded Debt/Escrow,Total Expenditures,Increase (Decrease) in Reserves,Total Ending Fund Balance,Total Requirements,Primary County Coordinates
2008_70_MUSCATINE_EXPEND_SA,2008,70,MUSCATINE,6288645,1501159,5176228,881226,4533000,757543,2242949,30000,3881126,1993000,27284876,657533,0,27942409,0,3996469,31938878,POINT (-91.1127562 41.4839221)
2018_25_DALLAS_EXPEND_SA,2018,25,DALLAS,12638052,3789881,2760599,4733259,8548733,2343088,1690328,51100,2481635,4199520,43236195,6170229,0,49406424,0,18003640,67410064,POINT (-94.0397374 41.6848862)
2010_40_HAMILTON_EXPEND_SA,2010,40,HAMILTON,2571816,2070783,2406006,1384619,4198000,450386,1308532,0,1509947,2149621,18049710,2281862,0,20331572,0,3356867,23688439,POINT (-93.7068085 42.3837722)
2006_4_APPANOOSE_EXPEND_SA,2006,4,APPANOOSE,1575827,761869,1330982,358584,3566000,304164,723887,0,33440,1500000,10154753,536360,,10691113,0,4970959,15662072,POINT (-92.8686104 40.7431635)
2015_78_POTTAWATTAMIE_EXPEND_SA,2015,78,POTTAWATTAMIE,27145798,5679700,9656862,7838289,12020856,2330353,6773972,0,3938971,2150000,77534801,5910000,0,83444801,0,13097726,96542527,POINT (-95.5423935 41.3366123)
2022_54_KEOKUK_EXPEND_SA,2022,54,KEOKUK,1377841,785068,436481,401826,5884000,452966,2078202,0,199160,435000,12050544,2238160,0,14288704,0,3130201,17418905,POINT (-92.1786426 41.336465)
2022_86_TAMA_EXPEND_SA,2022,86,TAMA,4760432,1869595,658347,1036288,9896773,658414,5044434,25500,931785,3472000,28353568,3037979,0,31391547,0,5679770,37071317,POINT (-92.5325425 42.07981170000001)
2012_22_CLAYTON_EXPEND_SA,2012,22,CLAYTON,2561947,702600,2128541,1242404,6379372,665780,1293095,1300,253804,1417500,16646343,1400000,0,18046343,0,5354032,23400375,POINT (-91.34143280000002 42.8447493)
2021_53_JONES_EXPEND_SA,2021,53,JONES,3411325,854773,971465,3353891,7139295,838122,1986880,113763,0,1676977,20346491,2586172,0,22932663,0,5690206,28622869,POINT (-91.1314352 42.1212397)
2015_58_LOUISA_EXPEND_SA,2015,58,LOUISA,2719379,650964,539942,4488623,3161758,295399,1118509,0,361472,3223598,16559644,1985832,0,18545476,0,5566261,24111737,POINT (-91.2596184 41.2185073)
